monthly_income,time_of_month,savings,guests
4845,4,medium,1
9066,26,medium,0
6331,19,medium,0
4774,19,low,0
1643,1,medium,0
4247,7,high,0
5691,9,low,0
5082,22,high,0
6432,11,low,0
1417,10,medium,0
1422,19,high,1
4339,24,high,0
7636,18,high,0
9486,29,medium,0
1102,25,low,0
7740,20,medium,0
9041,6,high,0
1782,16,low,0
9782,3,high,1
8181,3,medium,0
6684,27,medium,0
2479,27,medium,0
1211,16,low,0
7064,15,high,0
6267,23,low,0
9621,4,low,0
8427,15,medium,0
3550,13,high,0
6365,31,high,0
3543,1,high,0
2770,6,low,0
6965,1,medium,0
3385,29,high,0
2698,23,low,0
2380,17,high,0
3478,14,medium,0
4460,13,medium,0
6743,6,high,0
2304,20,medium,0
4456,17,low,1
3127,10,medium,0
8341,10,medium,0
2299,24,low,0
4041,28,medium,0
8115,23,high,0
6460,27,high,1
8270,11,medium,0
4740,13,low,0
7824,10,medium,0
5963,31,high,0
6342,25,medium,0
2706,7,low,0
4706,20,medium,0
5300,15,high,0
7612,2,high,0
8373,7,medium,0
4217,8,high,0
1862,25,high,0
6023,24,medium,0
6646,12,low,0
9274,10,medium,1
4222,17,medium,1
7132,28,low,1
7676,14,medium,0
7501,5,high,0
2527,18,low,0
3118,12,medium,0
9666,16,high,0
9397,23,low,0
2756,14,low,0
4232,29,medium,0
4790,4,medium,0
4685,18,low,0
4649,20,high,0
2767,28,medium,1
6023,7,medium,0
2162,31,low,0
2734,24,low,0
1786,3,low,0
5203,18,low,0
6219,29,high,0
5796,20,high,0
7455,7,high,0
6230,25,high,0
9130,29,high,0
2737,5,high,0
2743,13,medium,0
3488,13,low,0
2928,25,high,0
9914,10,low,0
9910,28,high,0
6414,20,low,1
2051,23,medium,0
8170,17,medium,0
4033,20,low,0
8461,26,medium,0
5460,22,high,0
3508,9,high,1
7420,29,high,0
4930,17,medium,0
7157,23,medium,0
2115,10,medium,0
6346,6,high,0
2132,5,high,0
6022,11,high,0
6350,26,low,1
7235,29,high,0
5339,24,high,0
9837,7,high,0
7122,5,high,1
4634,18,medium,0
7997,20,high,1
8745,25,low,0
1879,5,high,0
6001,22,high,1
3943,23,low,0
2501,8,high,0
5832,3,low,0
2443,31,low,0
2178,15,low,0
8834,23,high,0
3704,3,high,0
7407,7,medium,0
9067,20,high,0
7801,16,medium,0
5661,22,low,1
8135,1,low,0
8498,6,high,0
8217,23,high,0
8146,11,low,0
9124,6,low,0
2005,26,low,0
2761,17,medium,0
3869,19,medium,0
9073,13,medium,1
6994,25,low,0
1777,7,low,0
9171,25,low,1
7591,29,medium,0
5286,30,high,0
6954,7,low,0
6045,27,low,0
5236,31,low,0
4201,20,high,0
6567,24,high,0
9220,26,high,0
2651,12,medium,0
5422,13,medium,0
8454,19,low,0
6462,5,high,0
3395,14,high,0
9654,7,high,0
8413,12,high,0
1249,7,low,1
7342,25,medium,1
4338,23,medium,0
7029,17,high,0
7720,8,high,0
4209,9,low,0
7317,14,medium,0
8828,18,high,1
3747,25,low,0
3917,16,low,0
7932,12,low,1
6039,9,low,0
6164,18,medium,0
4933,18,low,0
4069,2,low,0
2863,4,low,0
8342,23,high,0
4199,8,medium,0
5192,11,high,1
3799,12,high,0
6140,22,medium,0
5585,8,low,0
3070,15,medium,0
9112,7,medium,0
2117,17,low,0
9082,8,high,0
4418,18,low,0
4675,20,low,0
3972,22,medium,0
5847,19,medium,0
4416,30,medium,0
6205,11,medium,0
3657,20,medium,0
3933,2,low,0
5332,15,low,0
3438,29,medium,1
4915,4,low,0
6742,13,low,0
9631,25,high,0
2052,12,medium,0
8012,13,low,0
9631,4,low,0
7430,2,low,0
3667,17,medium,0
8189,28,low,0
1337,12,medium,0
6868,9,low,0
6545,7,low,0
7654,23,medium,0
1523,10,low,0
7339,7,medium,0
8972,5,high,1
4445,9,low,0
3824,5,low,0
2617,2,medium,0
8723,12,high,0
8791,23,medium,0
6370,17,high,0
4864,2,high,0
5593,12,high,0
3968,12,low,0
1423,21,medium,0
1538,6,high,0
1483,13,high,0
3253,27,high,0
1108,2,low,0
9400,8,low,0
2416,22,medium,1
5698,9,low,0
1484,13,medium,1
4715,26,low,0
6189,8,medium,0
7682,2,high,0
8597,30,medium,0
3231,10,medium,0
5062,10,low,0
9839,1,medium,0
8554,28,high,0
4801,23,low,0
4293,10,medium,1
5818,14,medium,0
8647,3,low,0
5464,10,low,0
7844,4,high,1
9752,26,high,0
3226,25,high,0
4478,10,medium,0
7779,17,low,0
1515,23,low,0
9060,26,low,0
5989,23,low,0
8924,15,low,0
3165,8,low,0
9319,17,medium,1
3869,24,low,0
9693,15,high,0
8094,26,high,1
8567,21,medium,0
2959,19,high,0
6304,9,low,0
7401,23,high,0
2825,10,medium,0
4185,23,low,0
4438,28,low,0
8360,16,medium,0
4039,6,low,0
2714,11,medium,0
1604,4,low,0
6928,18,medium,1
4694,16,high,0
4614,26,high,0
6102,8,low,0
6094,27,high,0
7257,31,high,0
7385,29,high,0
8920,5,high,0
7650,18,medium,0
6187,11,high,0
8911,19,medium,0
3387,25,low,0
1895,15,low,0
4047,17,medium,1
2159,17,medium,1
8795,31,high,0
4401,7,low,0
9096,15,medium,0
2091,9,high,0
7875,15,low,0
7731,17,low,0
5163,5,low,0
3311,26,low,0
5555,16,high,0
8430,12,high,0
6138,29,high,0
2436,26,medium,0
9275,15,low,0
2991,24,high,0
8469,6,medium,0
8744,16,high,0
5369,27,high,0
8900,27,high,0
6954,5,medium,0
9139,26,high,0
2382,5,low,0
6968,20,low,0
9458,21,medium,0
1780,19,high,0
8646,24,high,0
8287,4,low,0
5902,19,medium,0
8313,22,medium,0
3568,20,high,0
6945,21,medium,0
9839,31,medium,0
2485,23,high,0
1099,24,low,0
1159,19,low,1
3796,4,medium,0
4778,31,high,0
6271,22,low,1
8371,25,medium,0
2989,23,high,0
9408,25,low,0
3510,16,medium,0
1112,19,high,0
3001,17,medium,0
7228,19,high,0
9823,25,medium,0
6107,30,medium,0
2099,22,medium,0
2611,23,high,0
6949,8,low,0
6468,19,low,0
1193,20,low,0
6648,16,medium,1
1481,17,medium,0
6463,1,low,1
3004,24,medium,0
7918,16,low,0
5874,19,medium,0
6780,21,high,0
8924,10,medium,0
2761,12,low,0
1672,7,low,0
4046,25,low,0
9802,16,high,0
7815,6,medium,0
5048,27,low,0
3428,3,low,0
9231,9,medium,0
3038,7,high,0
9996,4,medium,0
2792,15,high,0
6978,8,low,1
3107,8,high,0
8524,12,medium,0
4499,30,low,0
1364,7,low,0
5874,5,medium,0
7480,21,medium,0
3312,31,low,0
8914,26,low,0
7070,26,low,0
8209,6,low,0
7809,31,low,0
4224,11,medium,0
4268,13,medium,0
1127,14,high,0
6970,27,high,0
2321,7,high,0
3678,3,medium,0
2111,21,medium,0
2588,31,low,0
8218,26,low,0
2455,5,low,0
4772,17,high,0
6104,21,high,0
6681,28,high,0
8093,17,low,0
1672,31,medium,0
2179,2,medium,0
4853,17,high,0
3920,22,high,0
3570,18,low,0
1892,20,low,1
4236,14,low,0
4116,24,medium,0
2284,19,low,0
1781,23,high,0
9476,9,low,1
3847,30,high,0
2169,9,low,0
9785,18,high,0
8430,8,medium,0
2266,28,medium,1
9565,23,high,0
7184,31,medium,0
3586,26,high,0
9497,19,high,0
4539,29,low,0
1925,11,low,0
3811,8,high,0
2395,28,high,0
1252,3,high,0
5157,26,high,0
3334,12,high,0
2744,21,low,0
5158,25,high,0
8803,29,low,0
9208,3,medium,0
1492,23,medium,0
9929,2,low,0
6323,30,low,0
6802,10,low,0
4818,7,low,0
2259,5,medium,0
8425,2,low,0
3211,6,low,0
9508,10,medium,0
8779,9,high,0
7522,3,low,0
6942,31,low,0
5239,25,medium,0
7105,9,medium,0
6144,26,high,0
4895,11,medium,0
9442,30,medium,0
1367,19,high,0
6785,30,medium,1
4237,6,medium,0
2568,28,low,1
6097,13,high,0
7173,1,high,0
3544,3,high,0
1324,27,low,0
8517,4,low,0
7124,12,low,1
8076,28,low,0
8879,1,medium,1
5818,1,medium,0
9594,20,medium,0
6108,20,low,0
1831,29,low,0
4813,31,low,0
3645,20,low,0
5754,6,high,0
8298,4,high,0
3094,15,medium,0
8629,24,high,0
4134,20,medium,0
6737,21,low,0
6762,12,low,0
1215,30,high,0
8508,2,low,0
9315,18,low,0
4102,31,low,1
4674,17,low,0
4244,8,high,0
7300,31,high,0
9651,25,high,0
3915,16,high,0
7903,26,high,1
5821,17,low,1
9294,27,medium,0
7118,3,medium,0
3412,26,low,0
5528,22,medium,0
4827,30,low,0
5406,7,medium,0
1921,15,high,0
3460,25,low,0
6105,10,medium,0
3953,9,low,0
9350,17,medium,0
7430,13,low,0
8919,10,high,1
8479,11,high,1
6740,24,low,0
4465,12,medium,1
6408,28,high,0
7853,15,high,1
5631,9,high,0
5736,20,medium,0
4898,19,low,0
6740,27,high,0
3305,12,low,0
2003,15,low,0
4166,6,high,0
4081,22,high,0
6420,10,low,1
7664,4,low,0
6155,31,low,0
4129,16,medium,0
6297,20,high,0
6241,17,low,0
1523,21,low,0
6475,9,high,0
8300,7,medium,0
6408,30,medium,0
8630,19,high,0
9033,20,high,0
6147,15,high,0
6319,20,high,0
1609,24,high,0
7721,27,high,1
9772,6,low,1
6712,22,high,0
6009,29,medium,0
5238,23,low,1
9616,3,medium,0
8647,4,medium,0
7583,21,medium,0
8909,10,low,0
8199,16,low,0
7116,17,low,0
6287,24,low,0
5019,20,medium,0
5708,22,medium,0
8268,5,low,0
8576,13,high,0
2273,23,medium,0
5775,20,medium,0
5467,5,medium,0
3707,17,medium,0
6977,4,medium,0
3108,5,medium,0
8560,17,high,0
6775,27,high,0
4445,5,low,0
9678,31,low,0
6173,17,low,0
5667,31,medium,0
5096,14,high,0
3620,17,low,0
9339,7,low,0
3004,29,low,0
7826,31,medium,0
3690,10,low,1
7553,17,low,0
7265,7,medium,1
9346,23,high,0
2814,31,medium,0
2506,10,high,0
8916,12,low,0
2982,6,medium,0
5713,2,medium,0
4324,26,high,1
6260,9,low,0
5517,10,medium,1
1194,19,low,0
8504,17,medium,0
7972,14,medium,0
5792,2,low,0
5462,18,high,0
5867,2,medium,0
9520,15,low,0
6881,27,high,1
3060,15,medium,0
9773,19,medium,0
6153,11,low,0
6444,4,medium,0
7587,22,high,0
7455,5,high,0
4925,30,medium,0
5464,23,high,0
2863,20,low,0
4371,31,high,0
7205,15,medium,0
6938,17,medium,0
5696,10,medium,0
6022,6,medium,0
7384,25,medium,0
2237,15,medium,0
3577,23,high,1
9550,17,medium,0
8956,18,high,0
4693,15,high,1
2174,31,high,0
7241,17,low,0
2364,24,low,0
8208,15,high,0
5579,11,low,0
1532,5,high,0
1231,21,low,0
6299,5,medium,0
2247,27,high,0
4816,10,medium,1
7106,10,high,0
9291,8,low,0
3385,13,high,0
8727,28,medium,0
3721,20,low,0
5726,31,medium,0
9343,12,medium,0
6964,8,low,0
6997,17,low,0
2061,24,low,0
3951,13,low,0
8561,8,high,0
2344,10,low,0
9178,7,low,0
6407,21,medium,0
9711,29,high,0
4156,31,medium,0
8815,10,low,0
5949,4,high,0
8571,17,medium,0
8973,9,high,0
6322,13,medium,0
2657,14,low,0
7281,10,low,0
2192,30,high,0
2144,23,high,0
3679,22,low,0
4949,20,low,0
2371,29,high,0
2972,12,low,0
9675,2,high,0
6872,14,medium,0
3499,8,high,0
1161,19,high,1
4744,12,low,1
7640,18,medium,0
2575,2,high,0
7572,17,low,0
9517,8,medium,0
4909,7,medium,0
8895,21,low,0
4391,9,high,1
9734,11,high,0
8499,30,medium,0
7067,5,high,0
9682,26,low,0
3254,8,medium,0
2818,15,high,0
7809,5,medium,0
4756,21,high,0
1226,17,medium,0
5949,23,low,0
6601,18,low,0
7395,8,medium,0
3227,3,medium,1
2768,16,low,0
3920,11,high,0
4919,19,medium,0
3105,24,medium,0
9814,31,high,0
8056,16,high,0
2905,23,high,0
5925,9,medium,0
7377,13,high,0
3336,8,low,0
6539,3,high,0
1024,27,high,0
5366,24,high,0
4409,5,medium,0
3075,28,high,0
8931,1,low,0
6108,20,medium,0
3730,24,medium,0
2174,4,medium,1
9836,23,low,0
7953,19,low,0
5594,22,medium,1
4077,15,low,0
6139,16,medium,1
6060,20,medium,0
1884,9,medium,0
9594,9,medium,0
2786,11,low,0
3010,17,low,0
4241,12,low,0
9169,16,medium,0
2855,8,medium,0
3033,30,high,1
4088,27,low,0
8456,25,high,0
9194,8,high,0
2140,27,high,0
1666,13,high,0
7230,20,low,0
9359,3,low,0
5196,13,medium,0
6026,29,medium,0
6394,2,high,0
7674,25,high,0
3868,10,low,0
9143,22,low,0
4251,31,medium,0
3544,24,medium,0
2020,18,medium,0
6534,6,medium,0
9604,21,medium,0
4437,25,high,1
3372,8,high,0
1197,24,low,0
7412,26,medium,0
6914,11,high,0
7442,14,low,0
5414,27,medium,0
5892,26,medium,0
3661,23,medium,0
8484,24,low,0
4897,16,low,0
7931,12,high,0
3363,2,medium,0
1861,28,medium,0
2821,2,medium,0
9728,23,medium,0
9362,13,low,1
9128,14,high,0
8356,1,high,0
8084,20,high,0
6294,20,medium,0
8936,1,medium,1
4959,20,high,0
1368,23,medium,0
3358,29,low,0
4419,3,low,0
2153,29,low,0
8534,19,medium,0
2586,21,medium,0
4478,30,medium,0
1408,21,medium,1
5363,15,low,0
8364,14,medium,0
9648,13,medium,0
7288,6,high,0
4035,26,high,0
9339,11,high,0
9953,23,medium,0
4034,9,high,0
1599,5,low,0
4148,28,medium,0
1373,1,high,0
4117,10,medium,0
2612,5,high,0
4527,21,medium,0
7510,27,low,0
1770,4,medium,1
1293,31,low,0
6688,8,low,0
4189,28,medium,0
6380,5,low,1
3701,14,high,1
4963,20,high,0
7153,17,medium,0
8138,10,high,0
9737,27,low,0
3753,6,medium,0
3221,10,low,0
9764,3,medium,0
1643,31,low,0
2295,23,low,0
9588,19,medium,1
4723,29,medium,1
7792,17,low,0
1007,7,low,0
6942,6,low,0
4966,4,low,0
2261,25,medium,0
4336,27,high,0
2336,9,medium,1
3904,25,low,0
6825,8,high,0
8262,27,low,0
6459,15,high,0
7801,29,medium,0
2547,1,high,0
5740,21,high,0
3644,5,low,0
8522,18,high,0
6513,16,high,0
7651,2,medium,0
4277,8,high,0
5348,12,high,0
8321,25,high,0
9132,18,high,0
2931,5,low,0
8539,7,high,1
4769,25,medium,0
4413,11,low,0
6178,9,medium,0
2088,29,low,0
2525,14,high,0
5904,18,high,0
5081,16,high,0
1564,30,medium,0
2970,31,medium,0
6016,4,medium,0
4570,7,high,0
4214,12,low,0
4659,19,medium,0
9032,16,high,0
9389,5,medium,0
8668,26,high,0
5353,7,low,1
6359,13,low,0
7645,29,medium,0
7594,12,medium,0
6707,31,medium,0
7818,10,medium,0
9378,23,medium,0
9678,20,low,0
2602,21,low,0
9200,28,medium,0
1645,4,medium,0
6304,19,low,0
1469,27,medium,0
4659,5,low,0
1345,24,medium,0
7354,10,low,0
9465,10,low,0
8527,16,high,0
8629,19,high,0
5960,14,medium,0
7844,26,medium,0
3378,16,low,1
6760,31,medium,1
3272,3,high,0
9273,31,medium,0
7652,5,medium,1
7244,7,high,0
3305,17,high,0
3383,27,low,0
6547,31,low,0
8421,9,high,0
8667,8,high,0
5582,2,low,1
8683,9,high,0
7061,4,high,0
7228,1,high,0
5121,19,medium,0
3890,8,high,0
5295,26,medium,0
3868,11,high,0
6613,10,high,1
5504,19,high,0
2966,11,low,0
8142,9,high,0
9467,12,medium,0
8583,1,high,0
3949,5,high,0
1506,19,low,1
1275,21,high,1
1921,5,medium,0
9910,17,high,0
3047,2,low,0
3504,19,low,0
3350,4,medium,0
1270,12,high,0
3269,30,medium,0
9405,22,high,0
3575,4,low,0
8727,4,high,0
9971,30,high,1
4471,18,high,0
1464,7,high,0
3429,17,high,0
3293,26,medium,0
2094,31,medium,0
5173,17,high,0
5193,27,high,0
1947,4,low,0
3051,7,medium,1
3831,17,high,1
3352,26,medium,0
7963,29,high,0
2917,13,medium,1
4259,15,low,0
7794,7,medium,1
1438,26,low,0
7190,11,high,0
7365,8,high,0
8676,1,medium,0
4700,26,low,0
7274,31,medium,0
5211,3,medium,1
4227,31,low,0
2573,18,low,0
9140,3,low,0
3226,4,low,0
3876,22,medium,0
5696,22,low,0
7993,6,low,0
7122,23,medium,0
6596,15,high,0
9626,3,medium,0
5191,18,high,0
8338,12,low,0
6042,6,medium,0
6824,30,low,0
9329,3,medium,0
5527,14,high,0
1654,7,medium,0
6982,22,low,0
9812,12,high,0
2894,25,high,0
7258,9,low,0
2617,3,low,0
6747,10,high,0
1546,7,high,1
8129,28,high,0
2549,23,low,1
9457,4,high,0
8622,1,low,0
1283,24,medium,0
1312,22,low,0
3242,9,low,0
8098,9,high,1
7231,28,low,0
5759,17,high,1
1235,24,high,0
2812,9,high,0
9106,27,high,0
6903,6,medium,0
4456,18,low,0
3689,1,low,0
2416,5,low,0
7745,16,low,0
4662,11,medium,0
2391,26,high,0
9952,13,low,0
5736,24,high,0
1085,5,low,0
3510,6,low,0
9326,19,medium,0
5251,9,low,0
4883,16,low,0
4754,29,medium,0
8352,11,medium,1
3517,12,low,0
4484,20,high,0
3672,14,medium,0
6182,14,low,0
5775,27,low,0
8339,14,high,0
5575,24,high,0
9228,24,low,0
6520,19,medium,0
8292,16,high,0
9470,26,medium,1
8983,9,medium,0
7576,6,medium,0
6470,14,medium,0
1122,29,high,0
4102,10,high,0
3700,13,high,0
4187,7,medium,0
9555,8,low,1
9654,7,medium,0
8321,29,low,0
8881,13,high,0
8096,7,high,0
5762,29,medium,0
6833,14,medium,0
9014,23,medium,0
4316,14,high,0
5544,7,medium,0
6381,23,medium,0
6018,4,medium,0
6021,12,medium,0
4813,28,high,0
8550,29,high,0
7896,28,medium,0
5738,18,low,0
7836,13,medium,0
7524,30,high,0
4509,7,low,0
9875,18,low,0
3747,15,high,0
1971,2,low,0
5820,12,medium,0
6732,17,high,0
5633,19,high,0
2482,31,medium,0
9221,9,medium,1
9103,2,low,0
3819,24,medium,0
7078,20,high,0
7378,10,low,0
5194,14,high,0
6211,21,high,0
8401,12,low,0
7489,31,low,0
7497,10,medium,0
3429,28,high,0
7833,23,high,0
5759,5,high,0
5949,29,high,0
2164,11,high,0
9593,31,high,1
5447,14,medium,0
3074,23,high,0
9926,23,high,0
6775,25,low,0
2142,7,medium,0
5761,19,medium,0
1988,5,high,1
4540,19,high,0
7108,27,high,0
6768,16,low,0
1273,22,low,1
2544,10,low,0
6000,14,medium,0
8166,21,high,0
6484,6,medium,0
8078,4,low,0
5874,28,high,0
1037,15,medium,0
8452,4,low,1
5714,15,low,0
8656,18,high,0
4305,19,high,0
8801,24,medium,0
4621,25,low,0
9452,1,high,0
8815,5,low,0
8983,25,high,0
8069,7,medium,0
4123,28,medium,0
4642,29,medium,1
1409,7,high,0
8328,15,high,0
9492,24,low,1
7790,8,high,0
2653,19,low,0
2859,7,high,0
9042,16,low,0
7652,20,low,0
6205,5,high,0
6603,5,low,1
5114,23,low,0
4796,7,high,0
6928,16,high,0
1494,23,high,0
8182,26,medium,0
4751,8,low,0
5716,1,medium,0
5364,18,low,1
8499,11,medium,0
9466,10,low,0
8711,18,low,1
8660,31,medium,0
5758,21,low,0
8459,20,high,0
9561,18,low,0
4919,11,medium,0
2182,26,low,0
3194,17,high,0
1297,25,medium,0
4744,31,low,0
3483,18,low,0
1963,31,low,0
3081,21,low,0
9794,31,medium,0
8656,14,medium,0
6574,31,low,0
1287,31,low,0
2300,21,low,0
6379,23,high,0
1739,31,low,0
2628,20,low,0
8568,31,high,1
6267,30,medium,0
8373,14,medium,0
2228,14,high,0
2822,13,medium,0
1861,12,medium,0
8530,27,low,0
1845,31,high,0
9603,14,low,0
9277,14,low,1
8958,30,medium,0
2415,28,low,1
6850,29,low,0
9181,29,medium,1
1160,4,medium,0
7301,4,medium,0
5954,12,low,0
5539,16,low,0
6218,16,medium,0
9960,4,medium,0
7801,29,high,0
4460,29,low,0
9922,25,high,0
2870,3,high,0
6470,31,low,0
8671,22,low,1
3261,1,low,0
2456,27,high,0
7029,2,low,0
4212,29,high,0
7416,19,high,0
6781,22,low,0
4838,6,medium,0
9804,22,high,0
4793,14,low,0
6189,6,low,0
8986,12,low,0
8851,31,medium,0
4108,12,high,0
9151,10,low,0
3316,28,medium,1
5664,11,low,1
6939,8,low,0
6517,29,medium,0
6898,21,high,0
1341,21,low,0
5002,8,high,0
3962,9,low,0
1829,17,high,0
1708,15,high,0
8982,26,low,0
5784,24,high,0
8664,14,low,0
1427,24,medium,0
1391,22,medium,0
6509,7,low,0
8934,30,medium,0
7357,1,high,0
9040,9,low,0
1090,11,low,0
5001,3,medium,0
9913,14,medium,0
8227,29,high,0
9711,8,low,1
7036,3,low,0
9943,11,low,0
2226,6,high,1
3604,9,high,1
7261,7,high,0
8637,11,high,0
9615,7,high,0
1725,18,low,0
8638,31,medium,0
3334,2,medium,0
4768,28,low,0
6953,3,medium,0
2980,15,medium,0
8025,7,high,0
5021,1,medium,0
6812,24,high,0
6938,21,medium,0
7628,30,high,0
8953,1,low,0
7036,10,medium,0
2247,21,low,1
6330,2,low,0
2840,19,medium,0
2646,5,medium,0
8483,23,medium,0
5949,14,high,0
1046,9,medium,0
3775,21,medium,0
9278,25,low,0
1351,18,medium,1
1682,18,low,0
6587,3,medium,0
1479,22,medium,0
4368,16,high,0
6881,24,medium,0
4296,23,medium,0
1348,26,medium,0
6542,25,medium,0
8045,23,low,0
5077,11,high,1
6362,3,high,0
7954,29,high,0
4194,20,high,0
9806,29,low,0
7352,11,low,0
5316,14,low,0
6528,27,low,0
6517,28,low,0
8784,30,high,0
7565,12,medium,0
1937,11,medium,0
7190,21,medium,0
4563,29,high,0
8402,6,medium,0
1053,27,medium,0
7770,15,high,0
7882,16,medium,0
9386,17,medium,0
3981,4,medium,0
1226,31,low,0
5635,18,high,0
1642,28,medium,0
3680,27,low,0
1273,10,medium,0
5146,9,medium,0
1166,13,medium,1
3099,7,medium,0
7469,13,medium,0
3027,24,high,0
9871,12,medium,1
2692,1,low,1
8413,1,low,0
4362,21,low,0
7636,18,high,0
6462,26,low,1
2462,18,low,0
9446,19,medium,0
7008,17,high,0
2088,18,high,0
8331,28,medium,0
9562,8,high,0
5371,2,medium,0
3087,26,high,0
8774,27,high,0
3467,23,medium,0
1385,8,medium,0
1230,30,medium,0
1318,19,medium,0
9824,17,medium,0
6897,28,low,0
5289,5,medium,0
5206,21,high,0
3462,27,medium,0
9242,26,low,0
7022,3,high,0
7744,22,medium,0
9990,7,low,0
2969,27,low,0
9840,13,low,0
7654,24,medium,0
4438,2,medium,0
8775,17,medium,0
3757,25,high,0
6471,14,high,0
4020,29,medium,0
7893,7,medium,0
5432,28,low,0
3813,1,high,0
5832,22,high,0
9184,25,low,1
7085,1,high,1
9881,31,medium,1
9330,30,medium,0
6936,8,medium,0
9468,5,medium,0
8590,23,low,0
3094,17,medium,0
8150,27,high,0
6536,15,low,0
1907,13,high,0
4671,4,high,0
2236,13,low,0
8644,29,high,0
8113,29,low,0
7400,3,medium,0
6680,22,low,0
7159,20,medium,0
3345,18,high,0
9188,24,high,0
7608,24,medium,0
1382,20,low,0
8851,3,low,0
7946,2,high,0
6032,29,medium,0
9467,31,medium,0
6577,11,high,0
8849,31,low,1
1436,23,medium,0
7229,29,high,0
5045,30,high,0
6934,11,medium,0
2855,7,high,0
1834,22,high,0
1876,29,medium,0
7362,26,high,0
9335,24,low,0
4565,19,medium,0
1613,25,high,0
8602,24,medium,0
7024,26,low,0
6982,6,medium,0
2410,12,medium,0
5440,3,low,0
2090,17,low,0
9210,6,high,1
4982,31,high,0
4931,31,medium,0
6012,27,medium,0
6367,31,medium,0
3364,28,medium,1
6684,23,medium,0
8695,31,high,0
1107,23,medium,0
3341,8,low,0
6554,5,medium,0
2836,11,low,0
2636,18,high,1
2461,28,high,0
1851,6,low,0
4533,30,low,0
2798,19,medium,0
6955,9,high,1
7417,22,high,0
7979,11,low,0
4963,3,low,0
3102,1,high,0
6235,19,low,0
7140,1,high,0
2347,9,low,0
4338,24,medium,0
7281,22,low,0
4105,27,high,0
7397,17,low,0
5798,20,low,0
6610,2,high,0
6126,25,low,0
6481,26,low,0
7478,31,medium,0
1511,12,medium,0
2218,8,medium,0
4700,19,high,0
4404,16,medium,0
8545,10,low,0
8241,21,low,0
2489,3,high,0
7292,22,low,0
7744,30,high,0
6707,18,low,0
1206,26,medium,0
8198,10,medium,0
1745,24,high,0
5255,22,low,0
8427,27,high,0
2416,22,medium,0
1294,8,medium,0
3602,14,high,0
6648,21,high,0
6799,14,high,0
2211,25,low,0
9382,21,low,0
4491,13,medium,0
7562,12,low,0
2123,8,medium,0
8283,16,medium,0
5642,4,medium,0
7398,13,medium,0
9423,30,high,0
7753,24,medium,0
1118,10,high,0
2480,29,high,0
5133,8,high,0
8105,2,low,0
9388,10,high,0
9641,31,low,0
9100,28,low,0
2762,24,high,0
9406,13,medium,0
5069,7,low,0
1972,14,medium,0
8043,26,medium,0
9437,17,medium,0
